,Datetime,Open,High,Low,Close,Volume
0,2021-09-20T09:15:00,2375.0,2378.15,2342.3,2365.6,20465
1,2021-09-20T09:20:00,2367.7,2369.6,2357.45,2359.75,6774
2,2021-09-20T09:25:00,2361.5,2369.45,2359.0,2365.75,12198
3,2021-09-20T09:30:00,2370.0,2370.0,2362.0,2364.15,9253
4,2021-09-20T09:35:00,2368.55,2371.0,2365.7,2368.1,5780
5,2021-09-20T09:40:00,2370.0,2371.0,2365.15,2365.65,4049
6,2021-09-20T09:45:00,2368.0,2370.55,2366.35,2367.05,5467
7,2021-09-20T09:50:00,2369.0,2369.0,2363.0,2364.0,2361
8,2021-09-20T09:55:00,2367.6,2370.7,2366.6,2368.6,3342
9,2021-09-20T10:00:00,2368.9,2376.65,2364.45,2373.0,8840
10,2021-09-20T10:05:00,2373.0,2374.0,2372.0,2372.15,2827
11,2021-09-20T10:10:00,2374.6,2379.0,2373.75,2377.0,4512
12,2021-09-20T10:15:00,2376.55,2376.8,2370.0,2370.85,2976
13,2021-09-20T10:20:00,2370.8,2373.8,2370.1,2370.4,2259
14,2021-09-20T10:25:00,2372.45,2378.5,2371.1,2375.0,3241
15,2021-09-20T10:30:00,2375.25,2377.1,2366.2,2366.2,2381
16,2021-09-20T10:35:00,2367.1,2369.3,2365.2,2365.2,1747
17,2021-09-20T10:40:00,2365.0,2369.95,2365.0,2366.9,1178
18,2021-09-20T10:45:00,2367.5,2369.9,2366.4,2367.55,872
19,2021-09-20T10:50:00,2369.0,2370.0,2368.55,2368.55,799
20,2021-09-20T10:55:00,2369.7,2371.0,2368.55,2369.7,1013
21,2021-09-20T11:00:00,2371.95,2372.0,2370.0,2371.4,558
22,2021-09-20T11:05:00,2372.0,2373.0,2368.9,2369.25,649
23,2021-09-20T11:10:00,2369.2,2371.0,2368.0,2371.0,2745
24,2021-09-20T11:15:00,2371.0,2374.0,2370.0,2373.1,790
25,2021-09-20T11:20:00,2374.0,2374.0,2370.05,2370.2,1465
26,2021-09-20T11:25:00,2372.0,2373.7,2370.8,2372.0,674
27,2021-09-20T11:30:00,2372.0,2374.35,2370.05,2370.35,473
28,2021-09-20T11:35:00,2370.35,2371.0,2368.9,2368.9,597
29,2021-09-20T11:40:00,2369.05,2371.0,2368.0,2368.0,741
30,2021-09-20T11:45:00,2368.0,2368.2,2363.35,2363.35,1560
31,2021-09-20T11:50:00,2364.5,2367.6,2363.35,2365.25,870
32,2021-09-20T11:55:00,2367.45,2368.75,2364.1,2367.35,2461
33,2021-09-20T12:00:00,2367.65,2370.0,2367.6,2367.75,1667
34,2021-09-20T12:05:00,2366.05,2366.55,2361.1,2361.6,1180
35,2021-09-20T12:10:00,2361.6,2362.0,2355.5,2355.5,2685
36,2021-09-20T12:15:00,2357.2,2357.2,2352.3,2353.4,3435
37,2021-09-20T12:20:00,2355.4,2358.85,2355.4,2355.65,1361
38,2021-09-20T12:25:00,2355.95,2358.0,2353.95,2355.0,1822
39,2021-09-20T12:30:00,2357.0,2357.0,2354.0,2354.4,2589
40,2021-09-20T12:35:00,2354.4,2355.5,2351.0,2351.0,3607
41,2021-09-20T12:40:00,2351.1,2351.1,2346.1,2346.1,7133
42,2021-09-20T12:45:00,2346.6,2350.0,2346.45,2348.05,2911
43,2021-09-20T12:50:00,2349.25,2353.0,2347.45,2349.4,3072
44,2021-09-20T12:55:00,2349.7,2350.0,2345.0,2346.1,6255
45,2021-09-20T13:00:00,2349.35,2349.95,2348.0,2349.4,3889
46,2021-09-20T13:05:00,2349.1,2350.95,2348.1,2348.55,2066
47,2021-09-20T13:10:00,2350.95,2354.75,2348.0,2352.05,3008
48,2021-09-20T13:15:00,2355.05,2356.0,2348.1,2348.1,2876
49,2021-09-20T13:20:00,2348.05,2349.75,2346.4,2346.4,4340
50,2021-09-20T13:25:00,2346.45,2346.45,2344.0,2344.05,4442
51,2021-09-20T13:30:00,2345.0,2349.2,2344.3,2347.0,2880
52,2021-09-20T13:35:00,2346.8,2346.8,2344.0,2344.0,2363
53,2021-09-20T13:40:00,2345.0,2345.0,2341.75,2343.1,4300
54,2021-09-20T13:45:00,2344.85,2345.25,2341.55,2343.15,5380
55,2021-09-20T13:50:00,2344.7,2349.0,2344.25,2346.9,5455
56,2021-09-20T13:55:00,2348.0,2349.4,2345.05,2347.6,3191
57,2021-09-20T14:00:00,2347.9,2355.45,2347.05,2350.25,4290
58,2021-09-20T14:05:00,2349.5,2350.0,2345.1,2345.1,1776
59,2021-09-20T14:10:00,2346.0,2346.0,2342.75,2342.75,4380
60,2021-09-20T14:15:00,2343.8,2343.85,2338.0,2341.5,8452
61,2021-09-20T14:20:00,2342.65,2343.8,2340.0,2340.0,3427
62,2021-09-20T14:25:00,2341.0,2346.1,2339.95,2339.95,6669
63,2021-09-20T14:30:00,2340.45,2343.15,2339.4,2339.5,2273
64,2021-09-20T14:35:00,2339.5,2340.0,2336.05,2336.55,3819
65,2021-09-20T14:40:00,2336.0,2337.35,2333.0,2334.0,7899
66,2021-09-20T14:45:00,2335.0,2338.75,2333.5,2337.65,1850
67,2021-09-20T14:50:00,2338.4,2341.0,2334.05,2334.05,4303
68,2021-09-20T14:55:00,2334.0,2335.15,2330.0,2330.2,3729
69,2021-09-20T15:00:00,2334.6,2335.65,2328.15,2328.2,4453
70,2021-09-20T15:05:00,2330.0,2330.95,2325.0,2325.0,3889
71,2021-09-20T15:10:00,2325.05,2325.95,2320.55,2321.4,6550
72,2021-09-20T15:15:00,2324.75,2325.95,2320.05,2323.5,6662
73,2021-09-20T15:20:00,2325.45,2327.3,2325.0,2325.0,14935
74,2021-09-20T15:25:00,2326.25,2332.0,2326.0,2328.9,11051
75,2021-09-20T15:30:00,2330.5,2330.5,2330.5,2330.5,97
76,2021-09-21T09:15:00,2327.05,2334.0,2309.05,2309.05,17361
77,2021-09-21T09:20:00,2310.3,2310.3,2288.5,2297.45,20613
78,2021-09-21T09:25:00,2306.8,2314.0,2301.9,2308.2,7765
79,2021-09-21T09:30:00,2312.0,2318.8,2309.0,2309.0,7817
80,2021-09-21T09:35:00,2311.65,2324.05,2306.15,2317.95,11194
81,2021-09-21T09:40:00,2319.75,2324.95,2318.1,2321.65,5721
82,2021-09-21T09:45:00,2323.95,2328.0,2321.5,2321.5,3898
83,2021-09-21T09:50:00,2322.0,2322.0,2314.0,2314.0,5398
84,2021-09-21T09:55:00,2315.35,2325.55,2313.7,2313.7,4948
